time,object,confidence
2025-11-07 00:00:18,person,0.7729661464691162
2025-11-07 00:00:18,person,0.4383617639541626
2025-11-07 00:00:18,dog,0.26879870891571045
2025-11-07 00:00:18,dog,0.2598097324371338
2025-11-07 00:00:18,person,0.8454071283340454
2025-11-07 00:00:18,dog,0.5730513334274292
2025-11-07 00:00:18,cat,0.3833558261394501
2025-11-07 00:00:18,dog,0.28010493516921997
2025-11-07 00:00:19,person,0.8377302885055542
2025-11-07 00:00:19,cat,0.5128306746482849
2025-11-07 00:00:19,person,0.824791431427002
2025-11-07 00:00:19,dog,0.44820424914360046
2025-11-07 00:00:19,cat,0.2810405194759369
2025-11-07 00:00:19,person,0.851580798625946
2025-11-07 00:00:20,dog,0.45756664872169495
2025-11-07 00:00:20,person,0.280019074678421
2025-11-07 00:00:20,person,0.8530882596969604
2025-11-07 00:00:20,laptop,0.4628365635871887
2025-11-07 00:00:20,person,0.8623656034469604
2025-11-07 00:00:20,person,0.5218480229377747
2025-11-07 00:00:20,dog,0.3531155288219452
2025-11-07 00:00:21,person,0.8783588409423828
2025-11-07 00:00:21,cow,0.36288827657699585
2025-11-07 00:00:21,person,0.32911235094070435
2025-11-07 00:00:21,person,0.2825377583503723
2025-11-07 00:00:21,person,0.26000869274139404
2025-11-07 00:00:22,person,0.8750077486038208
2025-11-07 00:00:22,cow,0.3852795660495758
2025-11-07 00:00:22,person,0.3280830979347229
2025-11-07 00:00:22,person,0.307380735874176
2025-11-07 00:00:23,person,0.8568246364593506
2025-11-07 00:00:23,cow,0.37809085845947266
2025-11-07 00:00:23,person,0.3189488351345062
2025-11-07 00:00:23,person,0.3164729177951813
2025-11-07 00:00:23,person,0.8685979247093201
2025-11-07 00:00:23,person,0.4704457223415375
2025-11-07 00:00:23,person,0.4500817358493805
2025-11-07 00:00:23,person,0.32091233134269714
2025-11-07 00:00:25,person,0.856715202331543
2025-11-07 00:00:25,person,0.357831746339798
2025-11-07 00:00:25,cow,0.275378942489624
2025-11-07 00:00:25,person,0.2505320906639099
2025-11-07 00:00:26,person,0.8637260794639587
2025-11-07 00:00:26,dog,0.44459134340286255
2025-11-07 00:00:26,person,0.30564191937446594
2025-11-07 00:00:26,person,0.2964743375778198
2025-11-07 00:00:26,cow,0.28557541966438293
2025-11-07 00:00:26,person,0.250914990901947
2025-11-07 00:00:27,person,0.8587668538093567
2025-11-07 00:00:27,person,0.39129438996315
2025-11-07 00:00:27,person,0.3640826940536499
2025-11-07 00:00:27,cow,0.2722177803516388
2025-11-07 00:00:28,person,0.8612047433853149
2025-11-07 00:00:28,person,0.4022691249847412
2025-11-07 00:00:28,dog,0.4013439416885376
2025-11-07 00:00:28,cow,0.35744816064834595
2025-11-07 00:00:28,person,0.3223409950733185
2025-11-07 00:00:29,person,0.8725402355194092
2025-11-07 00:00:29,person,0.4354640543460846
2025-11-07 00:00:29,person,0.32753095030784607
2025-11-07 00:00:31,person,0.8725006580352783
2025-11-07 00:00:31,person,0.44387808442115784
2025-11-07 00:00:31,dog,0.3926708400249481
2025-11-07 00:00:31,cow,0.352710098028183
2025-11-07 00:00:31,person,0.26300618052482605
2025-11-07 00:00:32,person,0.8617932200431824
2025-11-07 00:00:32,person,0.36182358860969543
2025-11-07 00:00:32,person,0.3040485382080078
2025-11-07 00:00:32,person,0.2569901943206787
2025-11-07 00:00:34,person,0.8752572536468506
2025-11-07 00:00:34,person,0.5493636131286621
2025-11-07 00:00:34,cow,0.42879942059516907
2025-11-07 00:00:34,person,0.3178694248199463
2025-11-07 00:00:35,person,0.8671150207519531
2025-11-07 00:00:35,person,0.5055460929870605
2025-11-07 00:00:35,person,0.35958847403526306
2025-11-07 00:00:35,person,0.2742827236652374
2025-11-07 00:00:35,person,0.2679813802242279
2025-11-07 00:00:36,person,0.8738452196121216
2025-11-07 00:00:36,person,0.5388402342796326
2025-11-07 00:00:36,person,0.37287628650665283
2025-11-07 00:00:36,laptop,0.2757778763771057
2025-11-07 00:00:36,person,0.2743261158466339
2025-11-07 00:00:36,dog,0.2546727955341339
2025-11-07 00:00:37,person,0.8678231835365295
